iso_code,continent,location,last_updated_date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
SAU,Asia,Saudi Arabia,2022-12-03,825718,9471,22679.063,260.129,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15.322,31.9,3.295,1.845,49045.411,NA,259.538,17.72,1.8,25.4,NA,2.7,75.13,0.854,36408824,NA,NA,NA,NA
OWID_SCT,Europe,Scotland,2022-11-28,NA,NA,NA,NA,NA,9,1.647,580,106.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5466000,NA,NA,NA,NA
SEN,Africa,Senegal,2022-12-03,88873,1968,5132.287,113.649,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2657183,1910386,1342023,612714,15.34,11.03,7.75,3.54,19.44,82.328,18.7,3.008,1.796,2470.58,38,241.219,2.42,0.4,16.6,20.859,NA,67.94,0.512,17316452,NA,NA,NA,NA
SRB,Europe,Serbia,2022-12-03,2425077,17399,352915.726,2532.035,0.89,15,2.183,190,27.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,80.291,41.2,17.366,NA,14048.881,NA,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,6871547,NA,NA,NA,NA
SYC,Africa,Seychelles,2022-12-03,50068,171,467335.605,1596.117,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.89,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,NA,3.6,73.4,0.796,107135,NA,NA,NA,NA
SLE,Africa,Sierra Leone,2022-12-03,7759,126,901.609,14.641,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5122711,3704679,2936332,83336,59.53,43.05,34.12,0.97,39.05,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,NA,54.7,0.452,8605723,NA,NA,NA,NA
SGP,Asia,Singapore,2022-12-03,2171550,1705,385230.003,302.465,0.74,NA,NA,NA,NA,8,1.419,253,44.882,NA,NA,NA,NA,NA,NA,5156279,5113405,NA,NA,91.47,90.71,NA,17.59,7915.731,42.4,12.922,7.049,85535.383,NA,92.243,10.99,5.2,28.3,NA,2.4,83.62,0.938,5637022,NA,NA,NA,NA
SVK,Europe,Slovakia,2022-12-03,2650937,20740,469736.536,3675.054,1.04,14,2.481,311,55.108,1,0.183,118,20.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,NA,5.82,77.54,0.86,5643455,NA,NA,NA,NA
SVN,Europe,Slovenia,2022-12-03,1262996,6939,595796.953,3273.356,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.619,44.5,19.062,12.93,31400.84,NA,153.493,7.25,20.1,25,NA,4.5,81.32,0.917,2119843,NA,NA,NA,NA
SLB,Oceania,Solomon Islands,2022-12-03,24575,153,33930.623,211.247,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.46,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,NA,NA,35.89,1.4,73,0.567,724272,NA,NA,NA,NA
SOM,Africa,Somalia,2022-12-03,27286,1361,1550.56,77.34,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,23.5,16.8,2.731,1.496,NA,NA,365.769,6.05,NA,NA,9.831,0.9,57.4,NA,17597508,NA,NA,NA,NA
ZAF,Africa,South Africa,2022-12-03,4042769,102464,67498.862,1710.759,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37982823,22472709,19543985,3849560,63.42,37.52,32.63,6.43,NA,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,59893884,NA,NA,NA,NA
OWID_SAM,NA,South America,2022-12-03,65201564,1335856,149265.28,3058.162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,936433783,373089361,337298513,238761141,214.38,85.41,77.22,54.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436816679,NA,NA,NA,NA
KOR,Asia,South Korea,2022-12-03,27308090,30729,527022.371,593.043,1,430,8.299,2130,41.107,425,8.202,1273,24.568,NA,NA,NA,NA,NA,129624071,45131168,44701454,41309393,250.16,87.1,86.27,79.72,NA,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,NA,12.27,83.03,0.916,51815808,NA,NA,NA,NA
SSD,Africa,South Sudan,2022-12-03,18350,138,1681.454,12.645,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2203626,2153336,2111357,NA,20.19,19.73,19.35,NA,11.11,NA,19.2,3.441,2.032,1569.888,NA,280.775,10.43,NA,NA,NA,NA,57.85,0.433,10913172,NA,NA,NA,NA
ESP,Europe,Spain,2022-12-03,13614807,116108,286274.151,2441.365,1.16,229,4.815,3584,75.36,200,4.205,3207,67.433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,27.4,31.4,NA,2.97,83.56,0.904,47558632,NA,NA,NA,NA
LKA,Asia,Sri Lanka,2022-12-03,671703,16805,30766.69,769.736,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.93,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,NA,3.6,76.98,0.782,21832150,NA,NA,NA,NA
SDN,Africa,Sudan,2022-12-03,63637,4990,1357.613,106.455,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.258,19.7,3.548,2.034,4466.507,NA,431.388,15.67,NA,NA,23.437,0.8,65.31,0.51,46874200,NA,NA,NA,NA
SUR,South America,Suriname,2022-12-03,81581,1393,131998.266,2253.878,-0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.612,29.6,6.933,4.229,13767.119,NA,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738,618046,NA,NA,NA,NA
SWE,Europe,Sweden,2022-12-03,2632091,21127,249502.694,2002.683,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25185628,7813295,7631000,9444661,238.74,74.06,72.34,89.53,11.11,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,NA,2.22,82.8,0.945,10549349,NA,NA,NA,NA
CHE,Europe,Switzerland,2022-12-03,4337983,14137,496309.981,1617.419,1.14,42,4.805,1188,135.919,NA,NA,99,11.327,NA,NA,NA,NA,NA,16729866,6095349,6011431,4714168,191.41,69.74,68.78,53.93,5.56,214.243,43.1,18.436,12.644,57410.166,NA,99.739,5.59,22.6,28.9,NA,4.53,83.78,0.955,8740471,NA,NA,NA,NA
SYR,Asia,Syria,2022-12-03,57404,3163,2594.503,142.959,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,NA,21.7,NA,2.577,NA,NA,376.264,NA,NA,NA,70.598,1.5,72.7,0.567,22125242,NA,NA,NA,NA
TWN,Asia,Taiwan,2022-12-03,8356217,14449,349729.147,604.728,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63909544,21808550,20562014,21538980,267.48,91.27,86.06,90.15,21.3,NA,42.2,NA,8.353,NA,NA,103.957,NA,NA,NA,NA,NA,80.46,NA,23893396,NA,NA,NA,NA
TJK,Asia,Tajikistan,2022-12-03,17786,125,1787.037,12.559,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.33,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,NA,NA,72.704,4.8,71.1,0.668,9952789,NA,NA,NA,NA
TZA,Africa,Tanzania,2022-12-03,40656,845,620.724,12.901,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,65497752,NA,NA,NA,NA
THA,Asia,Thailand,2022-12-03,4707244,33180,65654.664,462.781,-0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024,NA,NA,NA,NA
